No,filename,year,doy,date
1,MOD13Q1.061__250m_16_days_NDVI_doy2025001000000_aid0001.tif,2025,1,2025-01-01
2,MOD13Q1.061__250m_16_days_NDVI_doy2025017000000_aid0001.tif,2025,17,2025-01-17
3,MOD13Q1.061__250m_16_days_NDVI_doy2025033000000_aid0001.tif,2025,33,2025-02-02
4,MOD13Q1.061__250m_16_days_NDVI_doy2025049000000_aid0001.tif,2025,49,2025-02-18
5,MOD13Q1.061__250m_16_days_NDVI_doy2025065000000_aid0001.tif,2025,65,2025-03-06
6,MOD13Q1.061__250m_16_days_NDVI_doy2025081000000_aid0001.tif,2025,81,2025-03-22
7,MOD13Q1.061__250m_16_days_NDVI_doy2025097000000_aid0001.tif,2025,97,2025-04-07
8,MOD13Q1.061__250m_16_days_NDVI_doy2025113000000_aid0001.tif,2025,113,2025-04-23
9,MOD13Q1.061__250m_16_days_NDVI_doy2025129000000_aid0001.tif,2025,129,2025-05-09
10,MOD13Q1.061__250m_16_days_NDVI_doy2025145000000_aid0001.tif,2025,145,2025-05-25
11,MOD13Q1.061__250m_16_days_NDVI_doy2025161000000_aid0001.tif,2025,161,2025-06-10
12,MOD13Q1.061__250m_16_days_NDVI_doy2025177000000_aid0001.tif,2025,177,2025-06-26
13,MOD13Q1.061__250m_16_days_NDVI_doy2025193000000_aid0001.tif,2025,193,2025-07-12
14,MOD13Q1.061__250m_16_days_NDVI_doy2025209000000_aid0001.tif,2025,209,2025-07-28
15,MOD13Q1.061__250m_16_days_NDVI_doy2025225000000_aid0001.tif,2025,225,2025-08-13
16,MOD13Q1.061__250m_16_days_NDVI_doy2025241000000_aid0001.tif,2025,241,2025-08-29
17,MOD13Q1.061__250m_16_days_NDVI_doy2025257000000_aid0001.tif,2025,257,2025-09-14
18,MOD13Q1.061__250m_16_days_NDVI_doy2025273000000_aid0001.tif,2025,273,2025-09-30
19,MOD13Q1.061__250m_16_days_NDVI_doy2025289000000_aid0001.tif,2025,289,2025-10-16
20,MOD13Q1.061__250m_16_days_NDVI_doy2025305000000_aid0001.tif,2025,305,2025-11-01
21,MOD13Q1.061__250m_16_days_NDVI_doy2025321000000_aid0001.tif,2025,321,2025-11-17
22,MOD13Q1.061__250m_16_days_NDVI_doy2025337000000_aid0001.tif,2025,337,2025-12-03
23,MOD13Q1.061__250m_16_days_NDVI_doy2025353000000_aid0001.tif,2025,353,2025-12-19
