year,month,month_name,total_mm,mean_mm,max_mm,min_mm,hari_hujan,hari_ekstrem,mean_ndvi,max_ndvi,min_ndvi,std_ndvi,observation
2025,1,January,150.43,4.853,32.534,0.0,28,0,0.6018,0.6235,0.5801,0.0307,2
2025,2,February,151.96,5.427,52.828,0.0,25,0,0.6402,0.6415,0.639,0.0018,2
2025,3,March,152.86,4.931,45.903,0.0,27,0,0.6646,0.6667,0.6625,0.003,2
2025,4,April,69.96,2.332,38.301,0.0,15,0,0.666,0.6763,0.6557,0.0146,2
2025,5,May,183.94,5.934,59.577,0.0,26,0,0.6684,0.6841,0.6528,0.0221,2
2025,6,June,22.12,0.737,38.028,0.0,5,0,0.6666,0.6779,0.6554,0.0159,2
2025,7,July,14.07,0.454,51.793,0.0,2,0,0.6468,0.6481,0.6456,0.0018,2
2025,8,August,50.62,1.633,59.134,0.0,10,0,0.6369,0.6434,0.6304,0.0092,2
2025,9,September,53.78,1.793,35.882,0.0,10,0,0.6294,0.6446,0.6142,0.0215,2
2025,10,October,89.19,2.877,33.42,0.0,18,0,0.5846,0.5846,0.5846,0.0,1
2025,11,November,156.63,5.221,50.381,0.0,26,0,0.5248,0.5313,0.5184,0.0091,2
2025,12,December,163.07,5.26,47.078,0.0,26,0,0.6069,0.6582,0.5556,0.0725,2
