year,month,month_name,total_mm,mean_mm,max_mm,min_mm,hari_hujan,hari_ekstrem
2025,1,January,150.43,4.853,32.534,0.0,28,0
2025,2,February,151.96,5.427,52.828,0.0,25,0
2025,3,March,152.86,4.931,45.903,0.0,27,0
2025,4,April,69.96,2.332,38.301,0.0,15,0
2025,5,May,183.94,5.934,59.577,0.0,26,0
2025,6,June,22.12,0.737,38.028,0.0,5,0
2025,7,July,14.07,0.454,51.793,0.0,2,0
2025,8,August,50.62,1.633,59.134,0.0,10,0
2025,9,September,53.78,1.793,35.882,0.0,10,0
2025,10,October,89.19,2.877,33.42,0.0,18,0
2025,11,November,156.63,5.221,50.381,0.0,26,0
2025,12,December,163.07,5.26,47.078,0.0,26,0
